ticket_id,customer_id,issue_type,severity,resolution_time_hrs,created_at
TKT32849484,15670039,fraud_alert,low,27.37,01 Sep 2025
TKT40611449,15640280,card_decline,high,24.5,01/31/2025
TKT84603787,15810432,transfer_delay,medium,4.66,02-08-2025
TKT27802400,15595039,login_issue,medium,4.78,02-05-2025
TKT18732732,15636684,fee_dispute,low,13.82,31 Jan 2025
TKT87644032,15731522,card_decline,low,28.45,01 Oct 2024
TKT98600556,15686164,  fraud_alert  ,,34.28,2024-05-02
TKT76535496,15568595,fraud_alert,medium,12.61,2025/09/01
TKT73669942,15612966,app_bug,low,26.44,2024/12/01
TKT98168784,15771573,card_decline,low,13.25,02-03-2025
TKT18242579,15677871,card_decline,high,10.82,2025/05/02
TKT30782459,15600974,login_issue,low,12.3,02 Jul 2025
TKT61112220,15781465,FRAUD_ALERT,medium,22.45,05/02/2025
TKT25862334,15724282,transfer_delay,low,21.11,01 Jun 2024
TKT97747054,15686870,transfer_delay,high,6.74,09/01/2024
TKT20755336,15774510,app_bug,medium,5.54,10/01/2024
TKT11489209,15682757,card_decline,high,17.06,01 Oct 2025
TKT66908060,15571973,fee_dispute,medium,10.29,08/02/2025
TKT48006226,15800116,login_issue,high,11.92,2025/01/31
TKT10552910,15662085,card_decline,low,10.24,01 Sep 2024
TKT80466190,15681705,fraud_alert,high,15.09,01 Oct 2024
TKT36354632,15720649,transfer_delay,low,2.8,2025-03-02
TKT46291718,15707362,app_bug,  low  ,32.72,08/01/2024
TKT25335598,15625944,fraud_alert,high,37.01,2025-01-31
TKT97861985,15607098,fraud_alert,low,13.44,02 Jul 2025
TKT64985773,15658485,,high,22.87,08/01/2024
TKT89054458,15805254,login_issue,,13.46,01-10-2024
TKT95121029,15625881,fee_dispute,low,25.55,01 Aug 2024
TKT80808027,15701376,app_bug,medium,13.84,2024-12-01
TKT53773728,15763063,app_bug,low,30.88,2024-11-01
TKT12038410,15713853,login_issue,  medium  ,10.44,2024/10/01
TKT83565057,15692132,fee_dispute,medium,35.84,2024-06-01
TKT86566050,15663252,transfer_delay,high,2.07,2025/10/01
TKT38412721,15811589,fee_dispute,critical,11.09,2025-08-02
TKT39765075,15645248,fraud_alert,low,11.57,02-07-2024
TKT67180081,15706021,fraud_alert,low,41.57,2025/03/02
TKT79880991,15643966,card_decline,low,33.81,01 Jan 2025
TKT70043560,19350933,app_bug,high,16.76,11/01/2024
TKT16085800,15792365,app_bug,high,20.53,2025/01/31
TKT76459136,15807663,login_issue,high,18.03,2024-09-01
TKT39952483,15699461,fee_dispute,low,10.18,01-11-2024
TKT13870965,15688074,app_bug,LOW,17.28,02-05-2024
TKT93705941,15705512,card_decline,  low  ,3.42,2024/05/02
TKT65885730,15646810,  login_issue  ,low,2.55,01 Oct 2025
TKT88437278,15719377,card_decline,medium,23.36,2024/05/02
TKT83695047,15766575,transfer_delay,high,20.53,07/02/2024
TKT50777390,15569590,fraud_alert,medium,6.04,2024/07/02
TKT95389531,15775153,app_bug,low,3.78,05/02/2024
TKT48754890,15696061,fraud_alert,low,20.09,01 Sep 2025
TKT70507010,15700476,FEE_DISPUTE,  medium  ,35.32,2025/08/02
TKT87680750,15765311,fraud_alert,low,17.81,02-07-2024
TKT86712021,15811490,card_decline,low,4.0,01 Oct 2025
TKT85587944,15589030,fraud_alert,medium,20.57,02 Aug 2025
TKT22346050,15630328,login_issue,,13.2,08/01/2024
TKT54390204,15728669,fee_dispute,high,4.65,2025-10-01
TKT14995326,15773890,login_issue,low,3.57,04/02/2025
TKT43340462,15640635,login_issue,low,7.07,2025-05-02
TKT85348944,15685329,app_bug,low,11.68,02-06-2025
TKT95811655,15613319,app_bug,high,15.91,01-06-2024
TKT44791893,15698786,login_issue,low,,2024-07-02
TKT79016879,19843504,fee_dispute,high,35.51,01 Aug 2024
TKT54089900,15777352,fraud_alert,medium,9.59,01-10-2025
TKT46160152,15642041,fee_dispute,low,19.27,07/02/2025
TKT60867422,15620204,fee_dispute,HIGH,11.56,02-03-2025
TKT89113988,15720559,unknown,medium,6.65,31-01-2025
TKT88740747,15683553,transfer_delay,LOW,7.1,2025/06/02
TKT46378168,15644753,login_issue,medium,9.46,07/02/2024
TKT99192681,15694456,fee_dispute,high,9.19,2025/08/02
TKT16328963,15740404,login_issue,,5.75,02-03-2025
TKT69440700,15625047,card_decline,low,14.27,01-01-2025
TKT89707488,15810418,FRAUD_ALERT,medium,15.64,04/02/2025
TKT42307534,15662403,  transfer_delay  ,high,7.33,2024/11/01
TKT39313804,15659557,login_issue,low,44.24,01-01-2025
TKT64520173,15620204,transfer_delay,low,5.77,09/01/2025
TKT73347447,15602280,fee_dispute,low,34.26,02-07-2025
TKT72723846,15660535,fee_dispute,,27.59,01/01/2025
TKT37296988,15633064,card_decline,high,19.61,02 May 2024
TKT52940587,15733247,card_decline,high,28.68,02-06-2025
TKT13283283,15624170,fee_dispute,HIGH,16.16,02-08-2025
TKT32683589,15782390,transfer_delay,medium,2.14,01-10-2025
TKT92355950,15794048,login_issue,low,19.6,02 Mar 2025
TKT60638308,15734565,transfer_delay,low,11.44,2024-11-01
TKT23886306,15788448,transfer_delay,high,-1.2,2025/04/02
TKT56861097,15809248,card_decline,LOW,29.97,2024/10/01
TKT25119441,15597602,card_decline,medium,-5.0,01 Oct 2025
TKT61828952,15717426,fee_dispute,high,10.34,2025-05-02
TKT10710780,15689614,card_decline,high,16.06,2025-10-01
TKT69696172,15616550,fraud_alert,high,,2024/05/02
TKT59408314,15755262,fraud_alert,low,6.37,01 Sep 2024
TKT54871374,15705515,fraud_alert,LOW,22.04,02 Jul 2024
TKT15356676,15804771,FEE_DISPUTE,medium,7.57,02-08-2025
TKT79875871,15581229,fee_dispute,medium,25.85,02 Aug 2025
TKT44337714,15699637,transfer_delay,low,2.96,02 May 2024
TKT95573064,15753719,  card_decline  ,low,14.69,2025-01-01
TKT27108312,15777352,login_issue,critical,9.01,2025/08/02
TKT70708915,15619360,transfer_delay,high,12.91,01-09-2025
TKT14547637,15699430,transfer_delay,medium,10.86,01 Jan 2025
TKT53649886,15721935,transfer_delay,high,19.18,06/01/2024
TKT30689873,15785611,card_decline,low,14.79,2024/11/01
TKT31824528,15797748,fee_dispute,low,21.13,2024/10/01
TKT83864050,15688074,app_bug,high,,02-07-2025
TKT61990375,15766575,fee_dispute,medium,6.97,02 May 2025
TKT31901972,15785869,app_bug,medium,7.97,2025/10/01
TKT81431449,15653620,login_issue,medium,8.06,2025/05/02
TKT93622624,15715142,LOGIN_ISSUE,high,18.06,2024-09-01
TKT60987300,15698474,login_issue,high,24.86,06/01/2024
TKT20901138,15812007,card_decline,CRITICAL,-5.0,02-06-2025
TKT95965372,15593782,card_decline,,6.65,01 Oct 2024
TKT36960315,15594594,fraud_alert,low,11.61,2024/05/02
TKT16652136,15567367,fee_dispute,low,13.47,06/02/2025
TKT17651867,15789484,fee_dispute,low,18.25,02 Jun 2025
TKT33529230,15709737,fee_dispute,MEDIUM,3.2,2024-05-02
TKT22185712,15626900,transfer_delay,medium,10.74,12/01/2024
TKT65691659,15737792,app_bug,low,0.71,01 Jan 2025
TKT47873442,15804919,card_decline,critical,28.61,2024-05-02
TKT38277773,15811490,app_bug,medium,61.44,2024/07/02
TKT35214912,15642394,card_decline,low,,01 Jan 2025
TKT67657203,15701164,app_bug,  low  ,10.12,01-01-2025
TKT58120666,15787174,app_bug,medium,21.22,10/01/2024
TKT51521148,15794056,app_bug,low,39.17,02-03-2025
TKT58532791,15599195,transfer_delay,  low  ,7.55,02-05-2024
TKT38908231,15708916,app_bug,medium,12.73,02 Jul 2024
TKT41691897,15677512,transfer_delay,MEDIUM,32.9,02 Apr 2025
TKT79821889,15603134,transfer_delay,low,10.22,06/01/2024
TKT56746512,15663252,app_bug,critical,4.97,01/01/2025
TKT67899201,15787619,LOGIN_ISSUE,low,14.4,08/02/2025
TKT75397160,19203161,,medium,16.66,2025-06-02
TKT49579416,15623944,fee_dispute,low,43.94,01 Sep 2025
TKT53130111,15589488,card_decline,MEDIUM,10.09,2024/10/01
TKT83065949,15755262,app_bug,high,3.35,09/01/2024
TKT85857836,15760550,fraud_alert,medium,21.52,02-04-2025
TKT52483385,15636673,card_decline,medium,17.65,02 Apr 2025
TKT16246585,15646558,card_decline,medium,12.53,2024-05-02
TKT55983465,15790782,app_bug,medium,9.39,05/02/2024
TKT77205238,15756850,transfer_delay,low,11.12,2025-03-02
TKT68848167,15576269,fraud_alert,low,4.78,2025/07/02
TKT46099112,15595440,fraud_alert,low,14.39,01-06-2024
TKT48979589,15707473,card_decline,high,10.89,06/02/2025
TKT11432467,15812518,card_decline,medium,23.31,2025-06-02
TKT98628266,15591995,login_issue,medium,38.0,2025-08-02
TKT45760049,15789484,fee_dispute,medium,14.07,2025/10/01
TKT21301234,15720910,transfer_delay,medium,9.83,2025-10-01
TKT56154055,15653849,card_decline,medium,11.39,01 Jan 2025
TKT24197496,15703793,card_decline,low,7.27,02-05-2024
TKT42719886,15746490,fee_dispute,high,42.79,2024-09-01
TKT42241170,15681081,login_issue,medium,19.06,08/02/2025
TKT24435712,15729599,fee_dispute,HIGH,27.99,2024-11-01
TKT24113341,15803689,fraud_alert,low,9.04,2024/12/01
TKT73285742,15682541,card_decline,medium,26.41,02-07-2024
TKT81806017,15763274,fraud_alert,low,,2024/05/02
TKT16245980,15725166,  login_issue  ,medium,23.15,2025-07-02
TKT45549667,15684173,,low,11.35,01/31/2025
TKT15349777,15578980,login_issue,high,16.71,2024/10/01
TKT44727487,15815364,fraud_alert,high,14.48,01-10-2025
TKT87714271,15797960,fraud_alert,high,8.52,06/02/2025
TKT41886257,15675316,login_issue,LOW,8.61,2025/06/02
TKT32455017,15802593,  fee_dispute  ,medium,31.35,09/01/2024
TKT18640374,15623595,login_issue,medium,1.91,01-09-2024
TKT19284849,15571221,app_bug,high,15.48,11/01/2024
TKT52844553,15645621,transfer_delay,  low  ,24.8,2024/10/01
TKT19678896,15575024,card_decline,MEDIUM,29.13,06/02/2025
TKT67938253,15619360,card_decline,low,39.59,02 Jul 2024
TKT67491308,15699430,transfer_delay,medium,11.67,02-05-2024
TKT13178835,15717225,card_decline,MEDIUM,33.72,01 Aug 2024
TKT35966035,15673693,login_issue,medium,11.06,2024/06/01
TKT35986692,15771086,app_bug,high,24.16,02 Jul 2025
TKT88159738,15573456,card_decline,critical,,02-05-2025
TKT62813483,15747807,card_decline,medium,2.63,2025-05-02
TKT29995074,19351595,fee_dispute,low,17.3,01 Jan 2025
TKT19962539,15585388,login_issue,medium,16.86,01-09-2025
TKT32008609,15810978,card_decline,low,5.05,01 Nov 2024
TKT65848939,15637954,fee_dispute,low,12.89,2024-12-01
TKT69481955,15668444,fee_dispute,  high  ,28.07,2025-08-02
TKT28548205,15705521,LOGIN_ISSUE,MEDIUM,10.56,02-07-2024
TKT15695526,15777892,  app_bug  ,medium,24.4,01-09-2024
TKT79753227,15706647,login_issue,medium,15.79,2025-05-02
TKT59756093,15635367,transfer_delay,medium,16.39,2025-01-01
TKT25362400,15605926,transfer_delay,low,6.44,2025-03-02
TKT24949108,15713578,unknown,low,36.53,11/01/2024
TKT76025195,15581229,  app_bug  ,medium,6.72,01-09-2025
TKT12052022,15591100,app_bug,HIGH,3.31,2024-11-01
TKT11318282,15812750,fraud_alert,high,18.08,01 Sep 2024
TKT59263819,15657566,,high,9.54,2025-06-02
TKT64601065,15625524,fraud_alert,low,4.97,2025-04-02
TKT13354739,15774393,fraud_alert,low,5.38,2025/06/02
TKT14362424,15764866,fraud_alert,  low  ,10.9,2025/04/02
TKT92879305,15762729,card_decline,LOW,19.55,2025/06/02
TKT79071019,15789158,,high,2.41,10/01/2024
TKT72592462,15619529,app_bug,LOW,9.15,2024-06-01
TKT80026204,15706552,fee_dispute,high,2.36,06/02/2025
TKT71278597,15593365,fraud_alert,high,11.0,2025/09/01
TKT30118968,15693683,app_bug,medium,20.24,02 Jul 2025
TKT99208001,15580203,  fraud_alert  ,low,6.5,2024/06/01
TKT59805838,15790678,login_issue,high,7.86,01 Oct 2024
TKT36225115,15697307,transfer_delay,medium,35.31,31 Jan 2025
TKT64375609,15660535,transfer_delay,low,5.29,01-06-2024
TKT15791885,15811127,card_decline,high,5.49,2025/09/01
TKT49040332,15608968,transfer_delay,high,30.09,02 Jul 2025
TKT99920948,15736816,APP_BUG,,18.52,2025-10-01
TKT95442673,15667896,fraud_alert,low,,2024-11-01
TKT44610765,15789669,fee_dispute,medium,40.97,2025/05/02
TKT65579749,15736601,login_issue,high,9.82,04/02/2025
TKT15779977,15808582,card_decline,medium,20.74,05/02/2024
TKT86939148,15720187,transfer_delay,HIGH,5.5,01-09-2025
TKT94953769,15798398,login_issue,  medium  ,8.37,02 Jun 2025
TKT20024477,15658032,card_decline,low,12.48,2024/05/02
TKT45236296,15736112,fee_dispute,low,37.46,01 Jan 2025
TKT64350436,15767339,login_issue,medium,4.48,01/31/2025
TKT38739597,15682048,fraud_alert,  high  ,11.46,2025-10-01
TKT10794153,15745417,transfer_delay,critical,3.16,2025-06-02
TKT54583306,15674991,fee_dispute,low,17.4,2024-09-01
TKT21169714,15710825,login_issue,medium,10.86,06/01/2024
TKT35609769,15668747,transfer_delay,high,2.07,02-05-2025
TKT75379276,15742668,fraud_alert,low,10.55,2024-06-01
TKT20727341,15611579,app_bug,MEDIUM,36.32,01-11-2024
TKT48578229,15744607,login_issue,LOW,3.92,2025-01-01
TKT16191883,15578761,login_issue,low,15.1,2025-01-31
TKT29324974,15715941,transfer_delay,low,4.53,2025/06/02
TKT70700611,15659428,transfer_delay,low,11.48,2025/01/01
TKT15647989,15806964,login_issue,critical,24.13,2025-01-01
TKT51917623,15733247,transfer_delay,medium,19.67,2025-10-01
TKT17158231,15620344,fraud_alert,medium,28.35,07/02/2025
TKT48547495,15600739,APP_BUG,medium,13.21,2024/05/02
TKT49277465,15690452,fraud_alert,low,2.77,10/01/2024
TKT64642256,15739803,card_decline,low,35.58,2025/06/02
TKT94306567,15743411,card_decline,low,25.46,02-04-2025
TKT50655997,15656333,transfer_delay,high,,08/01/2024
TKT21191713,15785519,app_bug,medium,6.74,02-05-2024
TKT73317487,15806926,fee_dispute,low,,2025/03/02
TKT35616721,19960004,login_issue,high,19.43,05/02/2024
TKT57269535,15698028,login_issue,low,5.83,10/01/2024
TKT85380555,15625524,fraud_alert,high,13.38,2025/07/02
TKT72040316,15592979,login_issue,low,27.63,2024-12-01
TKT14900048,15797964,card_decline,medium,18.37,2025/04/02
TKT42643571,15714485,  login_issue  ,medium,1.43,2024-10-01
TKT26970181,15754084,,low,22.07,10/01/2024
TKT78514271,15809663,login_issue,low,14.74,05/02/2025
TKT62415708,15592387,login_issue,low,6.97,11/01/2024
TKT87510550,15578186,fee_dispute,  medium  ,13.38,01 Jan 2025
TKT17477449,15768193,fraud_alert,medium,23.29,12/01/2024
TKT69080722,15628936,fee_dispute,low,8.85,01-10-2024
TKT25454990,15688251,CARD_DECLINE,high,6.48,06/01/2024
TKT39362264,15580146,fee_dispute,medium,23.2,2025/01/01
TKT61225607,15704769,fee_dispute,low,2.52,2025-08-02
TKT63977953,15804586,card_decline,  low  ,5.52,02-06-2025
TKT66593588,15762615,login_issue,low,4.97,01-11-2024
TKT70157971,15776223,transfer_delay,LOW,17.46,2025-04-02
TKT54097694,15746490,fraud_alert,  low  ,13.05,2024/10/01
TKT95989474,15716155,fee_dispute,low,12.3,07/02/2025
TKT76353806,15743040,transfer_delay,medium,17.67,09/01/2025
TKT27718390,15807709,card_decline,HIGH,30.57,2025/06/02
TKT20231326,15567832,app_bug,low,16.88,2025-03-02
TKT14198221,15660211,transfer_delay,medium,17.34,12/01/2024
TKT31360196,15745295,card_decline,low,2.04,2024-12-01
TKT92821961,15772896,login_issue,medium,4.0,05/02/2024
TKT15508852,15680998,fraud_alert,medium,7.53,2025/04/02
TKT61682384,15582797,,  low  ,16.34,2024-05-02
TKT22907519,15585388,transfer_delay,low,14.63,02-04-2025
TKT62912061,15696231,app_bug,high,5.71,2025-01-01
TKT74761748,15622911,login_issue,high,15.85,11/01/2024
TKT59955183,15566091,card_decline,critical,28.73,2025/01/31
TKT63827204,15783501,fraud_alert,high,41.37,2025-07-02
TKT27914487,15595766,transfer_delay,MEDIUM,,07/02/2025
TKT27633929,15803764,transfer_delay,low,14.55,01 Aug 2024
TKT40184314,15792388,login_issue,low,,08/01/2024
TKT65289805,15705620,unknown,medium,3.56,03/02/2025
TKT94686195,15583725,,low,4.45,01-11-2024
TKT44785129,15585362,fee_dispute,LOW,16.78,2024-07-02
TKT82108307,15598883,transfer_delay,medium,5.58,03/02/2025
TKT12406823,15704770,transfer_delay,low,3.01,2025-10-01
TKT78123392,15709295,transfer_delay,low,24.12,01-09-2024
TKT49562863,15633059,fee_dispute,MEDIUM,37.48,09/01/2024
TKT13316638,15659843,fraud_alert,high,37.81,03/02/2025
TKT57208844,15732963,card_decline,critical,12.95,01/31/2025
TKT30528761,15666252,fee_dispute,medium,14.1,01 Oct 2025
TKT25154654,15587421,  fraud_alert  ,high,17.94,02 Jun 2025
TKT14306427,15686776,app_bug,LOW,24.59,09/01/2024
TKT96107352,15605447,app_bug,low,4.4,02 Jun 2025
TKT40521849,15684181,TRANSFER_DELAY,medium,8.38,02-04-2025
TKT15893505,15805955,login_issue,low,3.41,2024-06-01
TKT89604832,15759618,fraud_alert,medium,,2024/05/02
TKT35212454,15811773,login_issue,MEDIUM,6.01,02 Jul 2024
TKT35785961,15577657,login_issue,low,18.83,09/01/2025
TKT48661988,15625021,fee_dispute,high,17.54,08/01/2024
TKT98821167,15662976,fraud_alert,low,6.27,2024-05-02
TKT64672065,15698932,fee_dispute,low,1.79,2024/11/01
TKT61458498,15658032,login_issue,low,35.66,01/01/2025
TKT97330256,15750141,transfer_delay,low,9999.99,06/01/2024
TKT67355029,15712543,fee_dispute,low,7.28,06/01/2024
TKT30258863,15607178,app_bug,medium,38.03,05/02/2024
TKT64707211,15626578,app_bug,low,9.01,2024-06-01
TKT58100106,15605284,fee_dispute,high,3.73,2024-11-01
TKT34488037,15643696,app_bug,low,7.67,01-12-2024
TKT92279043,15630328,transfer_delay,medium,42.75,01/01/2025
TKT74404108,15644572,fraud_alert,low,1.88,02 Jul 2025
TKT39975645,15793726,  fee_dispute  ,  medium  ,15.29,2024/07/02
TKT57160799,15703119,card_decline,high,11.63,09/01/2024
TKT45192351,15612525,app_bug,  medium  ,11.11,01-06-2024
TKT83717094,15650237,fraud_alert,low,17.11,01 Nov 2024
TKT59419647,15757811,  fraud_alert  ,medium,14.98,02-07-2024
TKT28616712,15637954,app_bug,low,10.0,2024/08/01
TKT11825966,15592531,app_bug,low,38.1,01 Oct 2025
TKT44831042,15748936,fraud_alert,MEDIUM,6.39,01 Jun 2024
TKT36849678,15785798,fee_dispute,medium,21.76,02-07-2025
TKT90367727,15607040,app_bug,critical,18.98,2025/08/02
TKT76167196,15798906,  transfer_delay  ,low,5.32,2024-12-01
TKT16282548,15591047,fee_dispute,medium,23.26,02-08-2025
TKT75419618,15727299,card_decline,LOW,2.07,01 Oct 2024
TKT72747240,15669516,login_issue,medium,0.0,2024-05-02
TKT86375393,15767339,login_issue,medium,10.0,02-04-2025
TKT69600462,15750803,app_bug,medium,14.27,08/01/2024
TKT12458270,15787155,transfer_delay,high,38.71,08/02/2025
TKT10619020,15738721,fraud_alert,medium,3.68,02 Jul 2024
TKT74499882,15622897,fraud_alert,high,14.04,2025-05-02
TKT34050350,15738181,fee_dispute,,8.99,10/01/2024
TKT86389322,15771873,fraud_alert,high,,01 Oct 2024
TKT75850080,15587562,card_decline,low,4.13,2025-01-31
TKT33742895,15762238,card_decline,,12.36,2024-06-01
TKT15537421,15677610,fraud_alert,medium,41.54,11/01/2024
TKT59533795,15790299,card_decline,low,4.84,2024/10/01
TKT50901555,15667871,app_bug,low,13.48,2024/08/01
TKT14712082,15645772,transfer_delay,low,37.91,02-06-2025
TKT12300378,15622003,login_issue,low,20.74,02 May 2025
TKT31311899,15677305,app_bug,low,10.94,2025/08/02
TKT80502249,15801488,CARD_DECLINE,low,,2025/01/31
TKT44857594,15690134,fraud_alert,medium,16.32,2025-01-01
TKT97485722,15792360,app_bug,high,5.19,2025-01-31
TKT14939429,15599792,fee_dispute,  medium  ,14.72,2024/09/01
TKT97940071,15763859,login_issue,low,20.87,2025/01/01
TKT11931608,15655774,fee_dispute,high,8.57,01 Sep 2025
TKT65960745,15573152,fee_dispute,low,1.91,02 Jul 2024
TKT72502188,15694860,login_issue,low,33.09,2025-04-02
TKT65120095,15804771,transfer_delay,  low  ,9.35,01-09-2025
TKT67425579,15651280,card_decline,high,66.11,2025/07/02
TKT62707643,15654238,APP_BUG,low,25.88,2024-07-02
TKT97601865,15670080,card_decline,medium,21.39,01 Dec 2024
TKT91943626,15706021,login_issue,low,2.2,01-06-2024
TKT16087559,15600974,login_issue,critical,34.63,2025-07-02
TKT65877733,15605461,fee_dispute,low,6.59,08/01/2024
TKT73343596,15727556,app_bug,low,10.57,2025/05/02
TKT44323051,15807008,login_issue,  medium  ,7.14,2025-09-01
TKT58418019,15667871,LOGIN_ISSUE,critical,12.29,09/01/2024
TKT85805934,15720893,fee_dispute,high,29.23,2024-07-02
TKT55802320,15603830,fraud_alert,medium,41.73,05/02/2024
TKT75300499,15661036,app_bug,low,11.5,2025-10-01
TKT90389490,15653253,fraud_alert,medium,3.7,01 Sep 2025
TKT60289007,15787155,fee_dispute,medium,20.34,2024/10/01
TKT78931125,15624729,fraud_alert,high,,2024/10/01
TKT66607817,15686137,card_decline,low,29.3,02 Mar 2025
TKT23501527,15582616,app_bug,medium,23.73,2025/03/02
TKT99928575,15755648,unknown,medium,37.92,12/01/2024
TKT92266186,15591969,fee_dispute,critical,10.54,2024-07-02
TKT38215840,15637753,card_decline,  low  ,9999.99,2025/08/02
TKT79127315,15699461,card_decline,low,21.47,02-07-2025
TKT89169681,15692463,login_issue,low,3.92,2024-10-01
TKT76776998,15815364,TRANSFER_DELAY,high,9.03,2025-07-02
TKT38410117,15645772,app_bug,medium,24.78,08/02/2025
TKT51391340,15576352,fraud_alert,high,24.54,02-07-2025
TKT18869110,15685357,app_bug,medium,14.02,2024-09-01
TKT26055127,15709295,fraud_alert,low,9999.99,2025/08/02
TKT82690244,15803136,,high,11.48,02-07-2024
TKT35989605,15739803,app_bug,medium,29.17,01 Aug 2024
TKT40762950,15637979,card_decline,low,13.03,01 Sep 2025
TKT14886197,15779659,login_issue,low,10.51,02-07-2024
TKT30507901,15590876,transfer_delay,medium,,09/01/2024
TKT26701552,15807709,fee_dispute,medium,12.01,2025-05-02
TKT30385502,15589975,fee_dispute,low,17.65,2024-08-01
TKT14069260,15756850,card_decline,medium,12.89,2025-04-02
TKT96572372,15808621,,medium,16.16,02-07-2024
TKT80895613,15745527,  transfer_delay  ,medium,32.43,02 Jun 2025
TKT15390785,15622003,card_decline,high,,01 Dec 2024
TKT41410275,15769974,app_bug,  low  ,13.3,01 Oct 2024
TKT75462081,15716164,fee_dispute,  medium  ,5.25,02-07-2024
TKT35075941,15680970,app_bug,high,4.81,05/02/2024
TKT65973296,15702968,fee_dispute,low,,02-06-2025
TKT96712153,15594815,transfer_delay,high,16.04,2025/06/02
TKT95507935,15725811,fee_dispute,high,42.99,03/02/2025
TKT67499766,15808621,fee_dispute,critical,9.07,2025/04/02
TKT43835039,15601848,transfer_delay,medium,22.76,2024/11/01
TKT34619437,15803976,card_decline,medium,1.84,01 Oct 2024
TKT92278153,15653857,card_decline,  medium  ,16.56,2024/11/01
TKT89698829,15574692,card_decline,  low  ,42.23,01-06-2024
TKT72355101,15702741,transfer_delay,medium,1.06,01 Nov 2024
TKT71237006,15788218,transfer_delay,medium,11.48,2024-09-01
TKT16287798,15731744,fraud_alert,low,9.51,01 Dec 2024
TKT11383287,15614049,,medium,16.05,2025/06/02
TKT72468656,15680920,transfer_delay,medium,29.04,31-01-2025
TKT62545924,15643024,transfer_delay,high,,2025/04/02
TKT37980453,15637979,fraud_alert,medium,19.31,02 Apr 2025
TKT36225115,15697307,transfer_delay,medium,35.31,31 Jan 2025
TKT37996921,15611325,card_decline,low,12.67,11/01/2024
TKT30284563,15812351,fee_dispute,medium,9.09,2024/07/02
TKT59422651,15702741,card_decline,,20.57,01 Jan 2025
TKT76361165,15714485,app_bug,medium,19.53,02 May 2024
TKT64738765,15661526,TRANSFER_DELAY,low,25.84,10/01/2025
TKT37807258,15594720,login_issue,low,36.53,02 May 2024
TKT88165013,15660101,fee_dispute,low,20.17,01-10-2024
TKT34259158,15620505,transfer_delay,low,18.61,2025-06-02
TKT68546205,15604482,app_bug,HIGH,18.69,2025-05-02
